CoC Number,CoC Name,CoC Category,"Overall Homeless, 2020","Overall Homeless - Under 18, 2020","Overall Homeless - Age 18 to 24, 2020","Overall Homeless - Over 24, 2020","Overall Homeless - Female, 2020","Overall Homeless - Male, 2020","Overall Homeless - Transgender, 2020","Overall Homeless - Gender Non-Conforming, 2020","Overall Homeless - Non-Hispanic/Non-Latino, 2020","Overall Homeless - Hispanic/Latino, 2020","Overall Homeless - White, 2020","Overall Homeless - Black or African American, 2020","Overall Homeless - Asian, 2020","Overall Homeless - American Indian or Alaska Native, 2020","Overall Homeless - Native Hawaiian or Other Pacific Islander, 2020","Overall Homeless - Multiple Races, 2020","Sheltered Total Homeless, 2020","Unsheltered Homeless, 2020","Overall Homeless Individuals, 2020","Overall Homeless People in Families, 2020","Overall Chronically Homeless, 2020","Sheltered Total Chronically Homeless, 2020","Unsheltered Chronically Homeless, 2020","Overall Homeless Veterans, 2020"
OH-504,Youngstown/Mahoning County CoC,Other Largely Urban CoC,100,34,8,58,62,38,0,0,92,8,28,60,1,1,0,10,88,12,55,45,6,3,3,2
OH-505,"Dayton, Kettering/Montgomery County CoC",Largely Suburban CoC,736,89,94,553,281,449,6,0,700,36,340,354,2,5,3,32,687,49,598,138,18,16,2,55
OH-506,"Akron, Barberton/Summit County CoC",Largely Suburban CoC,587,96,37,454,264,323,0,0,566,21,292,251,5,4,1,34,459,128,445,142,46,14,32,63
OH-507,Ohio Balance of State CoC,Largely Rural CoC,"3,577",701,270,"2,606","1,542","2,023",10,2,"3,404",173,"2,818",575,2,39,4,139,"2,591",986,"2,452","1,125",192,166,26,162
OH-508,"Canton, Massillon, Alliance/Stark County CoC",Largely Suburban CoC,250,73,13,164,131,119,0,0,244,6,132,81,1,2,0,34,234,16,135,115,3,2,1,8
OK-500,North Central Oklahoma CoC,Largely Rural CoC,221,28,47,146,83,135,3,0,213,8,182,15,0,13,1,10,158,63,188,33,28,18,10,10
OK-501,Tulsa City & County CoC,Major City CoC,"1,221",137,117,967,451,761,4,5,"1,130",91,679,282,4,149,3,104,953,268,"1,003",218,256,151,105,125
OK-502,Oklahoma City CoC,Major City CoC,"1,573",178,93,"1,302",516,"1,042",14,1,"1,451",122,958,406,7,125,1,76,"1,016",557,"1,309",264,441,89,352,150
OK-503,Oklahoma Balance of State CoC,Largely Rural CoC,161,32,11,118,65,95,1,0,142,19,122,8,0,18,0,13,106,55,108,53,75,49,26,4
OK-504,Norman/Cleveland County CoC,Largely Suburban CoC,266,19,11,236,99,166,1,0,254,12,198,29,2,25,0,12,120,146,235,31,215,69,146,20
OK-505,Northeast Oklahoma CoC,Largely Rural CoC,55,11,5,39,23,32,0,0,50,5,25,1,0,26,0,3,6,49,42,13,32,5,27,0
OK-506,Southwest Oklahoma Regional CoC,Largely Rural CoC,165,35,1,129,56,109,0,0,146,19,99,46,0,17,3,0,142,23,84,81,8,8,0,12
OK-507,Southeastern Oklahoma Regional CoC,Largely Rural CoC,270,50,20,200,109,160,1,0,256,14,188,28,0,38,1,15,187,83,193,77,73,63,10,4
OR-500,"Eugene, Springfield/Lane County CoC",Other Largely Urban CoC,"1,606",159,79,"1,368",517,"1,073",7,9,"1,455",151,"1,325",53,5,58,14,151,569,"1,037","1,362",244,545,134,411,167
OR-501,"Portland, Gresham/Multnomah County CoC",Major City CoC,"4,173",232,293,"3,648","1,435","2,644",48,46,"3,764",409,"2,858",590,47,213,62,403,"2,136","2,037","3,784",389,"1,837",483,"1,354",492
OR-502,"Medford, Ashland/Jackson County CoC",Largely Suburban CoC,727,85,64,578,265,461,0,1,635,92,590,29,8,28,26,46,364,363,591,136,297,45,252,92
OR-503,Central Oregon CoC,Largely Rural CoC,913,164,75,674,383,524,4,2,851,62,761,9,3,119,4,17,299,614,639,274,194,66,128,74
OR-504,"Salem/Marion, Polk Counties CoC",Largely Suburban CoC,624,32,31,561,170,454,0,0,599,25,593,2,3,13,6,7,624,0,603,21,45,45,0,51
OR-505,Oregon Balance of State CoC,Largely Rural CoC,"5,642","1,205",337,"4,100","2,331","3,290",11,10,"5,146",496,"5,025",78,29,254,39,217,"1,346","4,296","4,304","1,338","1,116",182,934,329
OR-506,"Hillsboro, Beaverton/Washington County CoC",Largely Suburban CoC,618,83,41,494,192,424,2,0,517,101,483,53,8,17,14,43,311,307,477,141,149,48,101,84
OR-507,Clackamas County CoC,Largely Suburban CoC,352,70,24,258,150,202,0,0,304,48,281,25,9,9,2,26,129,223,235,117,156,26,130,40
PA-500,Philadelphia CoC,Major City CoC,"5,634","1,169",427,"4,038","2,093","3,493",36,12,"5,043",591,"1,237","4,139",29,27,27,175,"4,676",958,"3,814","1,820","1,145",858,287,244
PA-501,Harrisburg/Dauphin County CoC,Largely Suburban CoC,402,88,36,278,156,245,1,0,344,58,137,218,2,6,5,34,356,46,265,137,39,24,15,21
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",Largely Suburban CoC,367,93,18,256,193,173,1,0,353,14,101,252,0,0,1,13,321,46,216,151,13,4,9,8
PA-503,"Wilkes-Barre, Hazleton/Luzerne County CoC",Largely Suburban CoC,181,61,20,100,115,64,2,0,140,41,107,55,1,4,0,14,173,8,87,94,3,2,1,12
PA-504,"Lower Merion, Norristown, Abington/Montgomery County CoC",Largely Suburban CoC,282,74,14,194,157,123,1,1,263,19,114,147,3,0,1,17,249,33,163,119,51,39,12,8
PA-505,Chester County CoC,Largely Suburban CoC,522,95,15,412,165,356,1,0,498,24,250,255,1,1,1,14,499,23,366,156,41,38,3,222
PA-506,Reading/Berks County CoC,Largely Suburban CoC,524,97,36,391,154,370,0,0,321,203,352,150,0,2,0,20,510,14,375,149,47,47,0,34
PA-508,Scranton/Lackawanna County CoC,Largely Suburban CoC,177,38,18,121,72,103,2,0,157,20,151,16,0,0,1,9,161,16,110,67,10,7,3,33
PA-509,Eastern Pennsylvania CoC,Largely Rural CoC,"2,032",570,172,"1,290",904,"1,121",4,3,"1,617",415,"1,476",449,4,7,6,90,"1,666",366,"1,147",885,117,65,52,94
PA-510,Lancaster City & County CoC,Largely Suburban CoC,461,82,44,335,209,251,1,0,343,118,332,109,4,1,1,14,441,20,306,155,6,4,2,28
PA-511,"Bristol, Bensalem/Bucks County CoC",Largely Suburban CoC,333,121,18,194,186,145,2,0,294,39,187,126,4,0,1,15,303,30,137,196,33,20,13,12
PA-512,York City & County CoC,Largely Suburban CoC,370,123,29,218,168,199,2,1,259,111,216,127,1,1,6,19,312,58,200,170,16,9,7,7
PA-600,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",Largely Suburban CoC,887,176,57,654,341,540,6,0,857,30,316,484,7,3,4,73,724,163,619,268,183,137,46,106
PA-601,Western Pennsylvania CoC,Largely Rural CoC,754,154,73,527,301,452,1,0,733,21,601,123,3,5,1,21,693,61,494,260,24,16,8,110
PA-603,Beaver County CoC,Largely Suburban CoC,101,44,4,53,56,45,0,0,101,0,69,26,5,1,0,0,92,9,33,68,6,0,6,3
PA-605,Erie City & County CoC,Largely Suburban CoC,348,63,19,266,118,230,0,0,309,39,208,117,1,4,1,17,342,6,253,95,38,36,2,35
PR-502,Puerto Rico Balance of Commonwealth CoC,Largely Suburban CoC,"1,299",80,45,"1,174",305,994,0,0,40,"1,259",542,241,2,11,4,499,391,908,"1,157",142,363,42,321,42
PR-503,South-Southeast Puerto Rico CoC,Largely Suburban CoC,"1,152",30,34,"1,088",212,930,10,0,16,"1,136",497,224,1,5,2,423,160,992,"1,094",58,305,53,252,46
RI-500,Rhode Island Statewide CoC,Largely Suburban CoC,"1,104",238,48,818,431,667,5,1,857,247,656,322,6,24,6,90,996,108,723,381,226,201,25,92
SC-500,Charleston/Low Country CoC,Largely Suburban CoC,433,32,14,387,130,303,0,0,417,16,190,213,1,3,1,25,280,153,370,63,88,43,45,97
SC-501,"Greenville, Anderson, Spartanburg/Upstate CoC",Largely Suburban CoC,"1,536",194,89,"1,253",531,"1,003",1,1,"1,480",56,759,676,2,21,2,76,"1,039",497,"1,220",316,353,178,175,98
SC-502,Columbia/Midlands CoC,Largely Suburban CoC,"1,140",138,88,914,402,733,3,2,"1,121",19,347,737,7,17,0,32,874,266,923,217,271,162,109,155
SC-503,"Myrtle Beach, Sumter City & County CoC",Largely Rural CoC,"1,178",154,65,959,516,660,1,1,"1,154",24,591,534,2,14,3,34,390,788,919,259,152,16,136,78
SD-500,South Dakota Statewide CoC,Largely Rural CoC,"1,058",215,83,760,448,607,3,0,977,81,265,65,2,699,0,27,812,246,743,315,162,122,40,43
TN-500,Chattanooga/Southeast Tennessee CoC,Largely Rural CoC,648,114,46,488,249,396,2,1,612,36,399,209,1,10,0,29,324,324,468,180,168,63,105,32
TN-501,Memphis/Shelby County CoC,Major City CoC,"1,022",178,59,785,286,735,1,0,"1,014",8,158,836,2,17,3,6,921,101,738,284,21,11,10,78
TN-502,Knoxville/Knox County CoC,Largely Suburban CoC,745,41,53,651,340,404,1,0,724,21,524,181,2,2,2,34,549,196,677,68,197,99,98,75
TN-503,Central Tennessee CoC,Largely Rural CoC,517,134,41,342,236,279,2,0,496,21,253,229,1,1,4,29,389,128,302,215,16,9,7,51
TN-504,Nashville-Davidson County CoC,Major City CoC,"2,016",147,115,"1,754",528,"1,480",6,2,"1,947",69,"1,025",907,16,22,10,36,"1,432",584,"1,831",185,533,196,337,249
TN-506,Upper Cumberland CoC,Largely Rural CoC,332,48,17,267,153,179,0,0,325,7,291,32,3,0,2,4,239,93,254,78,0,0,0,8
TN-507,Jackson/West Tennessee CoC,Largely Rural CoC,861,210,24,627,361,500,0,0,857,4,481,340,0,0,1,39,60,801,493,368,71,12,59,10
TN-509,Appalachian Regional CoC,Largely Rural CoC,386,54,9,323,134,252,0,0,382,4,352,26,0,6,2,0,259,127,299,87,85,32,53,45
TN-510,Murfreesboro/Rutherford County CoC,Largely Suburban CoC,322,21,16,285,138,183,1,0,312,10,248,64,4,1,0,5,166,156,286,36,51,23,28,18
TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",Largely Rural CoC,407,51,17,339,177,229,1,0,399,8,360,25,0,7,6,9,133,274,325,82,11,0,11,4
TX-500,San Antonio/Bexar County CoC,Major City CoC,"2,932",505,185,"2,242","1,175","1,746",10,1,"1,564","1,368","2,097",714,16,34,3,68,"1,658","1,274","2,104",828,293,138,155,206
TX-503,Austin/Travis County CoC,Major City CoC,"2,506",298,178,"2,030",801,"1,690",9,6,"1,905",601,"1,535",842,15,21,13,80,932,"1,574","2,048",458,787,185,602,309
TX-600,"Dallas City & County, Irving CoC",Major City CoC,"4,471",657,240,"3,574","1,541","2,920",8,2,"3,839",632,"1,642","2,559",52,50,12,156,"2,852","1,619","3,560",911,505,326,179,360
TX-601,"Fort Worth, Arlington/Tarrant County CoC",Major City CoC,"2,126",363,103,"1,660",823,"1,299",4,0,"1,849",277,"1,049","1,003",15,24,8,27,"1,323",803,"1,601",525,247,142,105,128
TX-603,El Paso City & County CoC,Major City CoC,843,167,38,638,334,509,0,0,299,544,668,97,4,15,4,55,681,162,533,310,102,66,36,55
TX-604,Waco/McLennan County CoC,Largely Rural CoC,234,61,15,158,99,134,1,0,176,58,133,88,0,2,0,11,158,76,143,91,29,7,22,16
TX-607,Texas Balance of State CoC,Largely Rural CoC,"9,198","1,287",596,"7,315","3,460","5,712",19,7,"5,905","3,293","6,411","2,294",77,152,33,231,"3,433","5,765","7,194","2,004","1,178",189,989,555
TX-611,Amarillo CoC,Other Largely Urban CoC,600,85,37,478,244,353,0,3,450,150,450,82,5,3,2,58,403,197,578,22,64,24,40,36
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Largely Rural CoC,236,43,17,176,94,142,0,0,195,41,161,60,1,2,2,10,176,60,184,52,18,10,8,11
TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Major City CoC,"3,974",566,247,"3,161","1,473","2,489",10,2,"3,412",562,"1,573","2,218",21,41,12,109,"2,318","1,656","3,087",887,800,153,647,267
TX-701,"Bryan, College Station/Brazos Valley CoC",Other Largely Urban CoC,109,16,7,86,36,73,0,0,90,19,59,44,0,2,0,4,83,26,83,26,10,2,8,5
UT-500,Salt Lake City & County CoC,Largely Suburban CoC,"1,958",387,164,"1,407",763,"1,182",12,1,"1,434",524,"1,396",252,26,99,55,130,"1,690",268,"1,324",634,436,316,120,80
UT-503,Utah Balance of State CoC,Largely Suburban CoC,"1,006",221,65,720,425,578,1,2,795,211,826,71,10,54,3,42,660,346,700,306,203,106,97,30
UT-504,Provo/Mountainland CoC,Largely Suburban CoC,167,27,10,130,62,103,1,1,133,34,145,9,0,9,0,4,77,90,126,41,49,5,44,4
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",Largely Suburban CoC,546,69,21,456,167,379,0,0,527,19,129,382,2,8,1,24,416,130,435,111,137,112,25,78
VA-501,"Norfolk, Chesapeake, Suffolk/Isle of Wight, Southampton Counties CoC",Largely Suburban CoC,709,116,38,555,235,474,0,0,680,29,127,551,4,5,1,21,644,65,538,171,53,47,6,59
VA-502,"Roanoke City & County, Salem CoC",Largely Suburban CoC,276,37,16,223,100,174,1,1,266,10,159,94,0,4,0,19,246,30,213,63,44,36,8,30
VA-503,Virginia Beach CoC,Major City CoC,319,64,16,239,135,184,0,0,298,21,146,147,1,3,0,22,225,94,234,85,51,39,12,26
VA-504,Charlottesville CoC,Largely Rural CoC,188,21,5,162,69,118,1,0,184,4,109,67,1,3,0,8,162,26,154,34,46,30,16,16
VA-505,"Newport News, Hampton/Virginia Peninsula CoC",Other Largely Urban CoC,425,86,24,315,156,269,0,0,387,38,123,269,2,12,2,17,363,62,296,129,52,44,8,45
VA-507,Portsmouth CoC,Other Largely Urban CoC,149,33,3,113,64,85,0,0,148,1,26,119,0,0,0,4,113,36,99,50,14,9,5,10
VA-508,Lynchburg CoC,Largely Rural CoC,73,15,4,54,39,34,0,0,69,4,36,27,0,2,0,8,55,18,48,25,7,2,5,2
VA-513,"Harrisburg, Winchester/Western Virginia CoC",Largely Rural CoC,297,41,37,219,109,187,0,1,278,19,224,47,1,4,1,20,262,35,227,70,47,39,8,11
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",Largely Suburban CoC,207,50,13,144,76,131,0,0,200,7,101,86,0,0,1,19,183,24,128,79,21,15,6,18
VA-521,Virginia Balance of State CoC,Largely Rural CoC,816,240,43,533,369,445,1,1,762,54,447,304,0,6,2,57,660,156,471,345,28,12,16,32
VA-600,Arlington County CoC,Other Largely Urban CoC,199,38,8,153,82,116,1,0,151,48,64,108,5,0,2,20,165,34,139,60,20,6,14,3
VA-601,Fairfax County CoC,Largely Suburban CoC,"1,041",318,95,628,477,559,5,0,884,157,316,601,56,11,1,56,953,88,513,528,190,131,59,33
VA-602,Loudoun County CoC,Largely Suburban CoC,179,30,0,149,99,80,0,0,167,12,80,62,4,0,1,32,122,57,129,50,26,15,11,7
VA-603,Alexandria CoC,Other Largely Urban CoC,207,50,8,149,90,117,0,0,179,28,54,129,14,0,2,8,196,11,121,86,24,13,11,9
VA-604,Prince William County CoC,Largely Suburban CoC,326,58,29,239,128,195,3,0,285,41,92,176,8,4,2,44,224,102,214,112,53,25,28,16
VI-500,Virgin Islands CoC,Largely Rural CoC,304,0,6,298,98,201,0,5,260,44,33,232,0,6,0,33,72,232,304,0,105,0,105,13
VT-500,Vermont Balance of State CoC,Largely Rural CoC,849,183,93,573,386,455,6,2,824,25,775,31,3,2,4,34,780,69,535,314,135,113,22,65
VT-501,Burlington/Chittenden County CoC,Other Largely Urban CoC,261,33,34,194,112,145,2,2,245,16,208,31,6,4,0,12,216,45,203,58,50,36,14,6
WA-500,Seattle/King County CoC,Major City CoC,"11,751","2,181","1,081","8,489","4,836","6,610",121,184,"10,034","1,717","5,658","2,953",244,"1,753",415,728,"6,173","5,578","8,008","3,743","3,355","1,380","1,975",813
WA-501,Washington Balance of State CoC,Largely Rural CoC,"5,668","1,055",427,"4,186","2,388","3,224",32,24,"4,813",855,"4,540",250,26,424,76,352,"3,076","2,592","4,063","1,605","1,541",280,"1,261",394
WA-502,Spokane City & County CoC,Other Largely Urban CoC,"1,559",241,133,"1,185",627,914,14,4,"1,422",137,"1,115",103,9,184,31,117,"1,018",541,"1,196",363,485,218,267,143
WA-503,"Tacoma, Lakewood/Pierce County CoC",Largely Suburban CoC,"1,897",226,146,"1,525",695,"1,194",2,6,"1,744",153,"1,031",455,27,96,61,227,983,914,"1,539",358,646,209,437,162
WA-504,Everett/Snohomish County CoC,Largely Suburban CoC,"1,132",198,73,861,472,649,5,6,"1,012",120,840,127,19,59,32,55,459,673,848,284,532,122,410,41
WA-508,Vancouver/Clark County CoC,Largely Suburban CoC,916,214,53,649,408,503,1,4,838,78,720,65,7,28,38,58,400,516,544,372,197,75,122,54
WI-500,Wisconsin Balance of State CoC,Largely Rural CoC,"2,708",820,171,"1,717","1,252","1,448",8,0,"2,474",234,"1,764",552,36,181,6,169,"2,583",125,"1,441","1,267",376,351,25,161
WI-501,Milwaukee City & County CoC,Major City CoC,970,171,65,734,299,666,5,0,874,96,310,602,3,11,6,38,883,87,735,235,73,63,10,103
WI-502,Racine City & County CoC,Largely Suburban CoC,207,36,16,155,74,133,0,0,194,13,101,93,0,0,2,11,196,11,149,58,14,12,2,31
WI-503,Madison/Dane County CoC,Other Largely Urban CoC,630,169,41,420,262,368,0,0,573,57,251,325,7,9,1,37,529,101,352,278,148,105,43,42
WV-500,"Wheeling, Weirton Area CoC",Largely Rural CoC,129,11,18,100,57,71,1,0,126,3,100,9,0,9,0,11,114,15,111,18,20,18,2,5
WV-501,"Huntington/Cabell, Wayne Counties CoC",Largely Rural CoC,194,17,14,163,70,124,0,0,189,5,146,41,0,0,1,6,148,46,166,28,4,3,1,15
WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",Largely Suburban CoC,294,31,20,243,111,183,0,0,288,6,218,68,0,1,0,7,281,13,252,42,31,29,2,16
WV-508,West Virginia Balance of State CoC,Largely Rural CoC,724,63,63,598,284,440,0,0,708,16,633,63,3,1,2,22,521,203,627,97,119,61,58,68
WY-500,Wyoming Statewide CoC,Largely Rural CoC,612,143,92,377,268,344,0,0,536,76,510,38,0,39,3,22,489,123,427,185,81,24,57,51
,Total,,"580,466","106,364","45,243","428,859","223,578","352,211","3,161","1,460","450,107","130,348","280,612","228,796","7,638","18,935","8,794","35,680","354,386","226,080","408,891","171,575","120,323","43,871","76,452","37,252"
,,,,,,,,,,,,,,,,,,,,,,,,,,
"a MO-604 covers territory in both Missouri and Kansas. The record described in this file represents the CoC's total territory, the sum of the point-in-time estimates the CoC separately reported for the portions of its territory in MO and in KS. However, in the companion file, Point-in-Time Estimates by State, MO-604's data have been split up between MO and KS.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
