CoC Number,CoC Name,CoC Category,"Overall Homeless, 2020","Overall Homeless - Under 18, 2020","Overall Homeless - Age 18 to 24, 2020","Overall Homeless - Over 24, 2020","Overall Homeless - Female, 2020","Overall Homeless - Male, 2020","Overall Homeless - Transgender, 2020","Overall Homeless - Gender Non-Conforming, 2020","Overall Homeless - Non-Hispanic/Non-Latino, 2020","Overall Homeless - Hispanic/Latino, 2020","Overall Homeless - White, 2020","Overall Homeless - Black or African American, 2020","Overall Homeless - Asian, 2020","Overall Homeless - American Indian or Alaska Native, 2020","Overall Homeless - Native Hawaiian or Other Pacific Islander, 2020","Overall Homeless - Multiple Races, 2020","Sheltered Total Homeless, 2020","Unsheltered Homeless, 2020","Overall Homeless Individuals, 2020","Overall Homeless People in Families, 2020","Overall Chronically Homeless, 2020","Sheltered Total Chronically Homeless, 2020","Unsheltered Chronically Homeless, 2020","Overall Homeless Veterans, 2020"
CO-505,"Fort Collins, Greeley, Loveland/Larimer, Weld Counties CoC",Other Largely Urban CoC,765,108,57,600,274,488,2,1,529,236,636,28,4,24,19,54,569,196,591,174,224,118,106,69
CT-503,"Bridgeport, Stamford, Norwalk, Danbury/Fairfield County CoC",Other Largely Urban CoC,697,149,48,500,262,431,2,2,458,239,342,291,3,9,0,52,640,57,457,240,44,30,14,44
CT-505,Connecticut Balance of State CoC,Largely Suburban CoC,"2,208",436,160,"1,612",845,"1,354",4,5,"1,600",608,"1,177",774,13,25,10,209,"1,940",268,"1,516",692,133,97,36,155
DC-500,District of Columbia CoC,Major City CoC,"6,380","1,432",548,"4,400","2,577","3,746",48,9,"5,823",557,506,"5,618",38,26,20,172,"5,727",653,"3,949","2,431","1,452","1,067",385,302
DE-500,Delaware Statewide CoC,Largely Suburban CoC,"1,165",266,71,828,463,701,0,1,"1,064",101,412,678,3,7,1,64,"1,015",150,737,428,267,211,56,78
FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",Largely Suburban CoC,"1,044",131,70,843,344,700,0,0,928,116,762,245,5,7,1,24,681,363,845,199,188,71,117,105
FL-501,Tampa/Hillsborough County CoC,Major City CoC,"1,452",244,63,"1,145",508,940,1,3,"1,215",237,690,685,12,38,9,18,840,612,"1,073",379,266,58,208,160
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",Other Largely Urban CoC,"2,226",230,119,"1,877",684,"1,539",3,0,"2,056",170,"1,380",719,8,24,9,86,"1,418",808,"1,876",350,592,213,379,265
FL-503,"Lakeland, Winterhaven/Polk County CoC",Largely Suburban CoC,612,105,32,475,214,397,0,1,541,71,362,198,4,22,1,25,422,190,452,160,78,33,45,44
FL-504,"Deltona, Daytona Beach/Volusia, Flagler Counties CoC",Largely Suburban CoC,904,171,66,667,369,533,2,0,622,282,579,272,2,12,0,39,451,453,604,300,76,21,55,73
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",Largely Suburban CoC,351,33,18,300,127,222,1,1,334,17,264,61,3,12,2,9,96,255,295,56,183,18,165,31
FL-506,Tallahassee/Leon County CoC,Other Largely Urban CoC,805,160,49,596,293,507,2,3,778,27,279,485,4,5,3,29,696,109,590,215,192,135,57,83
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",Largely Suburban CoC,"2,007",409,128,"1,470",758,"1,242",7,0,"1,663",344,829,"1,051",5,15,7,100,"1,548",459,"1,350",657,489,275,214,190
FL-508,"Gainesville/Alachua, Putnam Counties CoC",Largely Rural CoC,880,115,45,720,300,568,10,2,827,53,491,316,5,20,2,46,279,601,717,163,225,18,207,155
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",Largely Suburban CoC,"1,379",368,76,935,574,803,2,0,"1,226",153,814,489,7,13,3,53,188,"1,191",809,570,45,0,45,68
FL-510,"Jacksonville-Duval, Clay Counties CoC",Major City CoC,"1,366",193,118,"1,055",489,876,0,1,"1,260",106,534,770,7,10,7,38,915,451,991,375,71,56,15,177
FL-511,"Pensacola/Escambia, Santa Rosa Counties CoC",Largely Suburban CoC,746,48,44,654,228,517,1,0,705,41,462,260,5,10,0,9,372,374,671,75,184,33,151,89
FL-512,St. Johns County CoC,Largely Suburban CoC,367,60,38,269,162,205,0,0,346,21,274,72,3,4,1,13,162,205,270,97,43,7,36,26
FL-513,"Palm Bay, Melbourne/Brevard County CoC",Largely Suburban CoC,940,142,45,753,294,645,1,0,883,57,706,186,2,5,1,40,366,574,718,222,245,5,240,119
FL-514,Ocala/Marion County CoC,Largely Suburban CoC,523,115,21,387,206,317,0,0,491,32,330,170,1,3,1,18,373,150,362,161,130,78,52,80
FL-515,"Panama City/Bay, Jackson Counties CoC",Largely Rural CoC,385,27,24,334,122,263,0,0,369,16,292,78,0,10,1,4,136,249,346,39,43,7,36,18
FL-517,"Hendry, Hardee, Highlands Counties CoC",Largely Rural CoC,403,135,48,220,162,241,0,0,262,141,230,134,1,17,0,21,48,355,260,143,98,2,96,18
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",Largely Rural CoC,578,138,39,401,229,349,0,0,567,11,262,276,2,10,0,28,84,494,373,205,65,1,64,39
FL-519,Pasco County CoC,Largely Suburban CoC,898,126,58,714,327,565,2,4,831,67,772,82,3,6,1,34,210,688,687,211,265,63,202,92
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",Largely Suburban CoC,703,115,72,516,322,380,1,0,636,67,506,147,4,8,0,38,279,424,523,180,58,4,54,28
FL-600,Miami-Dade County CoC,Major City CoC,"3,560",848,166,"2,546","1,278","2,272",9,1,"2,283","1,277","1,491","2,016",16,10,3,24,"2,540","1,020","2,261","1,299",524,351,173,163
FL-601,Ft Lauderdale/Broward County CoC,Largely Suburban CoC,"2,211",288,101,"1,822",706,"1,497",4,4,"1,993",218,823,"1,323",15,17,14,19,"1,227",984,"1,776",435,654,269,385,157
FL-602,Punta Gorda/Charlotte County CoC,Largely Suburban CoC,169,18,7,144,58,111,0,0,158,11,141,18,0,3,0,7,93,76,137,32,23,6,17,51
FL-603,"Ft Myers, Cape Coral/Lee County CoC",Largely Suburban CoC,444,86,16,342,186,258,0,0,373,71,291,142,0,5,1,5,233,211,308,136,93,7,86,17
FL-604,Monroe County CoC,Largely Rural CoC,421,22,20,379,96,322,3,0,339,82,347,52,1,9,0,12,243,178,397,24,31,27,4,61
FL-605,West Palm Beach/Palm Beach County CoC,Largely Suburban CoC,"1,510",182,102,"1,226",480,"1,026",2,2,"1,335",175,716,710,7,19,6,52,480,"1,030","1,234",276,241,21,220,100
FL-606,Naples/Collier County CoC,Largely Suburban CoC,603,128,3,472,227,375,1,0,421,182,475,85,6,14,0,23,435,168,419,184,80,38,42,27
GA-500,Atlanta CoC,Major City CoC,"3,240",295,176,"2,769",847,"2,364",26,3,"3,127",113,294,"2,846",11,17,11,61,"2,301",939,"2,791",449,542,249,293,322
GA-501,Georgia Balance of State CoC,Largely Rural CoC,"4,349",867,248,"3,234","1,856","2,400",5,88,"4,092",257,"1,901","2,207",37,27,8,169,"2,087","2,262","2,987","1,362",256,67,189,295
GA-502,Fulton County CoC,Largely Suburban CoC,276,103,12,161,153,123,0,0,259,17,43,226,0,3,0,4,198,78,109,167,10,6,4,9
GA-503,Athens-Clarke County CoC,Other Largely Urban CoC,210,38,6,166,80,127,3,0,202,8,96,103,0,5,0,6,143,67,153,57,51,16,35,6
GA-504,Augusta-Richmond County CoC,Other Largely Urban CoC,470,58,12,400,136,316,2,16,395,75,135,305,0,1,0,29,188,282,419,51,95,30,65,42
GA-505,Columbus-Muscogee CoC,Other Largely Urban CoC,249,33,12,204,117,130,2,0,245,4,107,132,0,1,1,8,208,41,201,48,29,19,10,21
GA-506,Marietta/Cobb County CoC,Largely Suburban CoC,424,99,13,312,191,232,1,0,402,22,143,254,1,5,0,21,297,127,275,149,61,12,49,30
GA-507,Savannah/Chatham County CoC,Other Largely Urban CoC,672,61,40,571,198,469,5,0,663,9,266,390,3,4,1,8,452,220,592,80,294,74,220,22
GA-508,DeKalb County CoC,Largely Suburban CoC,344,113,11,220,165,179,0,0,329,15,46,245,40,1,0,12,204,140,169,175,36,0,36,17
GU-500,Guam CoC,Largely Rural CoC,790,291,81,418,357,431,2,0,771,19,21,3,14,1,727,24,108,682,276,514,84,0,84,21
HI-500,Hawaii Balance of State CoC,Largely Rural CoC,"2,010",369,125,"1,516",863,"1,140",0,7,"1,716",294,644,53,117,41,549,606,706,"1,304","1,341",669,709,120,589,132
HI-501,Honolulu City and County CoC,Largely Suburban CoC,"4,448",732,271,"3,445","1,658","2,734",36,20,"3,807",641,825,242,447,42,"1,611","1,281","2,102","2,346","3,227","1,221",969,301,668,353
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",Other Largely Urban CoC,305,78,15,212,95,210,0,0,276,29,137,58,8,83,3,16,288,17,192,113,34,28,6,12
IA-501,Iowa Balance of State CoC,Largely Rural CoC,"1,696",393,150,"1,153",701,986,8,1,"1,585",111,"1,169",407,5,29,5,81,"1,510",186,"1,125",571,220,203,17,83
IA-502,Des Moines/Polk County CoC,Other Largely Urban CoC,646,64,35,547,197,446,1,2,603,43,454,131,6,9,1,45,516,130,535,111,114,59,55,59
ID-500,Boise/Ada County CoC,Other Largely Urban CoC,647,64,30,553,186,459,2,0,588,59,553,34,6,22,5,27,564,83,542,105,129,85,44,100
ID-501,Idaho Balance of State CoC,Largely Rural CoC,"1,668",528,119,"1,021",849,817,1,1,"1,313",355,"1,351",18,7,208,12,72,708,960,778,890,235,55,180,78
IL-500,McHenry County CoC,Largely Suburban CoC,155,35,16,104,64,90,1,0,141,14,103,43,0,2,2,5,154,1,108,47,14,13,1,24
IL-501,"Rockford/DeKalb, Winnebago, Boone Counties CoC",Largely Suburban CoC,465,113,35,317,212,253,0,0,423,42,199,240,1,2,0,23,420,45,297,168,37,26,11,22
IL-502,"Waukegan, North Chicago/Lake County CoC",Largely Suburban CoC,292,95,16,181,146,146,0,0,240,52,139,138,4,1,0,10,258,34,150,142,24,17,7,8
IL-503,"Champaign, Urbana, Rantoul/Champaign County CoC",Other Largely Urban CoC,140,29,15,96,59,80,1,0,137,3,47,84,0,1,0,8,128,12,95,45,25,20,5,8
IL-504,Madison County CoC,Largely Suburban CoC,79,18,8,53,40,39,0,0,77,2,58,20,0,0,0,1,47,32,49,30,16,2,14,4
IL-506,"Joliet, Bolingbrook/Will County CoC",Largely Suburban CoC,276,48,10,218,116,160,0,0,204,72,191,78,1,4,0,2,234,42,170,106,24,15,9,0
IL-507,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",Largely Suburban CoC,311,30,27,254,112,199,0,0,301,10,197,93,4,0,3,14,274,37,255,56,59,50,9,25
IL-508,"East St. Louis, Belleville/St. Clair County CoC",Largely Suburban CoC,298,98,14,186,160,138,0,0,297,1,49,237,1,4,0,7,162,136,139,159,37,7,30,21
IL-510,Chicago CoC,Major City CoC,"5,390","1,134",495,"3,761","2,051","3,320",17,2,"4,777",613,"1,088","4,148",61,46,10,37,"3,861","1,529","3,668","1,722","1,521",675,846,487
IL-511,Cook County CoC,Largely Suburban CoC,846,180,75,591,343,502,1,0,741,105,321,469,7,5,5,39,728,118,554,292,174,137,37,36
IL-512,Bloomington/Central Illinois CoC,Largely Rural CoC,408,95,53,260,190,218,0,0,399,9,198,200,1,2,0,7,356,52,271,137,71,47,24,28
IL-513,Springfield/Sangamon County CoC,Other Largely Urban CoC,294,54,27,213,115,175,3,1,281,13,160,114,1,3,1,15,251,43,216,78,73,57,16,22
IL-514,DuPage County CoC,Largely Suburban CoC,328,83,62,183,160,161,7,0,285,43,168,137,3,0,0,20,318,10,191,137,50,49,1,8
IL-515,South Central Illinois CoC,Largely Rural CoC,123,35,14,74,59,64,0,0,123,0,109,9,0,2,0,3,91,32,62,61,10,1,9,2
IL-516,Decatur/Macon County CoC,Other Largely Urban CoC,135,12,10,113,55,80,0,0,135,0,80,51,0,1,0,3,112,23,118,17,28,18,10,12
IL-517,"Aurora, Elgin/Kane County CoC",Largely Suburban CoC,410,58,23,329,190,219,1,0,292,118,247,137,4,4,0,18,345,65,323,87,101,88,13,14
